seas_id,player_id,tm,pos,age,experience
1,359,PHO,SG,26,8
1,34,DAL,PG,35,15
1,260,MIA,C,33,10
1,457,ATL,C,22,3
1,481,LAC,C,19,1
1,241,LAL,SG,28,8
1,2,DAL,PF,40,21
1,422,SAC,C,26,7
1,423,BRK,PF,29,7
1,305,IND,PF,29,7
1,305,SAS,PF,30,8
1,305,SAS,SF,31,9
1,451,GSW,PF,22,4
1,225,GSW,PF,32,11
1,31,LAL,C,36,18
1,306,DAL,C,31,9
1,21,MIA,SG,37,16
1,203,PHO,SG,31,10
1,163,CLE,C,32,12
1,410,TOT,C,24,2
1,410,ATL,C,24,2
1,410,CLE,C,24,2
1,321,PHO,PG,27,8
1,351,PHO,SG,29,3
1,381,SAC,PG,25,6
1,200,BOS,C,29,11
1,164,LAC,PG,32,12
1,102,LAC,SG,34,15
1,226,NYK,SG,30,11
1,170,ATL,SG,31,10
1,360,HOU,C,29,8
1,424,TOR,PG,28,7
1,129,NOP,SG,36,13
1,307,ORL,SG,28,9
1,181,ATL,SG,32,7
1,425,POR,PG,30,7
1,103,IND,PG,36,15
1,426,PHI,PF,29,7
1,466,POR,C,20,2
1,53,HOU,SG,33,12
1,149,PHI,SG,29,8
1,261,MIL,PF,28,10
1,331,SAC,SF,27,7
1,104,CHI,PG,36,15
1,156,CHO,SF,32,13
1,262,SAS,C,33,10
1,165,UTA,C,31,10
1,227,SAC,PF,30,11
1,166,UTA,C,32,10
1,446,TOR,PF,24,5
1,299,TOT,SG,25,4
1,299,PHI,SG,25,4
1,299,NOP,SG,25,4
1,287,NOP,SG,27,6
1,82,WAS,C,33,12
1,204,BRK,SG,30,10
1,288,MIL,PG,27,6
1,467,ATL,PG,23,2
1,201,CHO,PG,32,11
1,468,BRK,PG,22,2
1,157,DEN,PG,34,13
1,427,LAC,C,25,7
1,70,DAL,PG,35,14
1,69,DAL,SG,36,15
1,33,LAL,SG,34,16
1,322,BOS,PF,26,8
1,228,MIL,SF,32,11
1,387,DET,C,25,6
1,442,MIN,SF,27,6
1,428,TOR,C,27,7
1,6,BRK,SG,39,20
1,429,DEN,PG,25,6
1,40,DET,PG,35,14
1,323,DEN,SF,31,8
1,130,PHI,PG,33,14
1,131,IND,PF,35,14
1,27,CLE,SF,36,14
1,339,PHI,PF,25,4
1,340,PHI,SG,22,4
1,308,GSW,PF,32,9
1,80,LAL,PF,35,14
1,255,TOR,PF,24,5
1,402,CHI,SF,26,3
1,393,ORL,PF,24,4
1,352,DEN,C,23,3
1,55,NYK,PG,34,13
1,452,WAS,PF,26,2
1,86,NOP,C,32,11
1,4,MIL,SG,40,19
1,105,DAL,C,35,15
1,430,BOS,SF,26,7
1,76,DEN,PF,36,15
1,140,MIL,PG,32,12
1,291,DAL,C,27,5
